Provider_ID,Hospital_Name,Period,Avg_Spending_Per_Episode_Hospital,Avg_Spending_Per_Episode_State,Avg_Spending_Per_Episode_Nation,Percent_of_Spending_Hospital,Percent_of_Spending_State,Percent_of_Spending_Nation, Total Discharges , Average Covered Charges , Average Total Payments ,Average Medicare Payments,State,Measure Response,Condition,Score,Sample,Measure Name,Value,Payment measure name,Payment category,Denominator,Payment,Lower estimate,Higher estimate,Value of care display name,Value of care category,"Measure Name_x_Able to track patients’ lab results, tests, and referrals electronically between visits",Measure Name_x_General Surgery Registry,Measure Name_x_Multispecialty surgical registry,Measure Name_x_Nursing care registry,Measure Name_x_Patient Safety Culture,Measure Name_x_Safe surgery checklist use (inpatient),Measure Name_x_Safe surgery checklist use (outpatient),Measure Name_y_Door to diagnostic eval,Measure Name_y_ED1,Measure Name_y_ED2,Measure Name_y_Emergency department volume,Measure Name_y_Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients,Measure Name_y_Endoscopy/polyp surveillance: colonoscopy interval for patients with a history of adenomatous polyps - avoidance of inappropriate use,Measure Name_y_External Beam Radiotherapy for Bone Metastases,Measure Name_y_Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival,Measure Name_y_Head CT results,Measure Name_y_Healthcare workers given influenza vaccination,Measure Name_y_Hospital acquired potentially preventable venous thromboembolism,Measure Name_y_Immunization for influenza,Measure Name_y_Improvement in Patient’s Visual Function within 90 Days Following Cataract Surgery,Measure Name_y_Left before being seen,Measure Name_y_Median Time to ECG,Measure Name_y_Median Time to Fibrinolysis,Measure Name_y_Median Time to Transfer to Another Facility for Acute Coronary Intervention,Measure Name_y_Median time to pain med,Measure Name_y_OP 18,"Measure Name_y_Percent of newborns whose deliveries were scheduled early (1-3 weeks early), when a scheduled delivery was not medically necessary"
10022,CHEROKEE MEDICAL CENTER,1 to 3 days Prior to Index Hospital Admission,$16,$13,$11,0.13%,0.07%,0.05%,13,$19815.92,$7503.92,$6643.00,AL,N,Emergency Department,48,50,Medicare hospital spending per patient (Medicare Spending per Beneficiary),  .928177,Payment for pneumonia patients,Less than the National Average Payment,87,"$14,129","$12,475","$15,846",Value of Care Pneumonia measure,Average mortality and lower payment,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
10023,BAPTIST MEDICAL CENTER SOUTH,1 to 3 days Prior to Index Hospital Admission,$7,$5,$6,0.03%,0.03%,0.03%,67,$16920.79,$6653.80,$5374.14,AL,Yes,Heart Attack or Chest Pain,Not Available,Not Available,Medicare hospital spending per patient (Medicare Spending per Beneficiary), 1.019054,Payment for heart failure patients,No Different than the National Average Payment,406,"$16,705","$15,667","$17,816",Value of Care Heart Failure measure,Average mortality and average payment,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
10024,JACKSON HOSPITAL & CLINIC INC,During Index Hospital Admission,$10111,$9213,$9676,46.83%,48.14%,47.66%,19,$20397.52,$5166.31,$4223.15,AL,Yes,Emergency Department,325,908,Medicare hospital spending per patient (Medicare Spending per Beneficiary), 1.031113,Payment for heart failure patients,No Different than the National Average Payment,450,"$16,683","$15,661","$17,717",Value of Care Heart Failure measure,Average mortality and average payment,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10029,EAST ALABAMA MEDICAL CENTER AND SNF,1 to 3 days Prior to Index Hospital Admission,$6,$8,$7,0.04%,0.04%,0.04%,51,$11977.13,$5834.74,$4761.41,AL,Yes,Emergency Department,"Very High (60,000+ patients annually)",Not Available,Medicare hospital spending per patient (Medicare Spending per Beneficiary),  .917403,Payment for heart attack patients,No Different than the National Average Payment,252,"$22,508","$20,893","$24,353",Value of Care Heart Attack measure,Worse mortality and average payment,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10032,WEDOWEE HOSPITAL,During Index Hospital Admission,$195,$1458,$1502,1.74%,7.62%,7.4%,14,$13084.85,$5781.85,$4827.57,AL,Yes,Emergency Department,241,181,Medicare hospital spending per patient (Medicare Spending per Beneficiary),  .864638,Payment for heart attack patients,Number of Cases Too Small,Not Available,Not Available,Not Available,Not Available,Value of Care Heart Attack measure,Not Available,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10033,UNIVERSITY OF ALABAMA HOSPITAL,1 to 3 days Prior to Index Hospital Admission,$7,$13,$11,0.03%,0.07%,0.05%,32,$35841.09,$8031.12,$5858.50,AL,Y,Blood Clot Prevention and Treatment,3,217,Medicare hospital spending per patient (Medicare Spending per Beneficiary),  .967137,Payment for hip/knee replacement patients,Greater than the National Average Payment,340,"$24,341","$23,400","$25,322",Value of Care hip/knee replacement measure,Average complications and higher payment,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10034,COMMUNITY HOSPITAL INC,During Index Hospital Admission,$4,$23,$20,0.02%,0.12%,0.1%,12,$6357.50,$4409.00,$3465.66,AL,Y,Emergency Department,Not Available,Not Available,Medicare hospital spending per patient (Medicare Spending per Beneficiary),  .929878,Payment for hip/knee replacement patients,Not Available,Not Available,Not Available,Not Available,Not Available,Value of Care hip/knee replacement measure,Not Available,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
10035,CULLMAN REGIONAL MEDICAL CENTER,1 to 3 days Prior to Index Hospital Admission,$32,$85,$126,0.19%,0.45%,0.62%,11,$16587.27,$5038.63,$3909.54,AL,Y,Emergency Department,"High (40,000 - 59,999 patients annually)",880,Medicare hospital spending per patient (Medicare Spending per Beneficiary),  .961948,Payment for heart attack patients,No Different than the National Average Payment,118,"$21,390","$19,339","$23,616",Value of Care Heart Attack measure,Average mortality and average payment,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10036,ANDALUSIA REGIONAL HOSPITAL,1 through 30 days After Discharge from Index Hospital Admission,$129,$159,$122,0.85%,0.83%,0.6%,21,$15989.90,$6136.90,$5011.52,AL,N,Emergency Department,Not Available,Not Available,Medicare hospital spending per patient (Medicare Spending per Beneficiary),  .926426,Payment for pneumonia patients,Less than the National Average Payment,298,"$15,518","$14,502","$16,575",Value of Care Pneumonia measure,Average mortality and lower payment,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
10038,STRINGFELLOW MEMORIAL HOSPITAL,During Index Hospital Admission,$0,$0,$0,0%,0%,0%,13,$21577.61,$4841.76,$4063.00,AL,Y,Heart Attack or Chest Pain,Not Available,Not Available,Medicare hospital spending per patient (Medicare Spending per Beneficiary),  .977767,Payment for heart attack patients,No Different than the National Average Payment,72,"$23,850","$21,222","$26,890",Value of Care Heart Attack measure,Average mortality and average payment,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
10039,HUNTSVILLE HOSPITAL,During Index Hospital Admission,$0,$0,$0,0%,0%,0%,135,$28523.39,$6113.38,$5228.40,AL,Yes,Pregnancy and Delivery Care,5,125,Medicare hospital spending per patient (Medicare Spending per Beneficiary), 1.005735,Payment for hip/knee replacement patients,Less than the National Average Payment,"1,782","$21,675","$21,301","$22,058",Value of Care hip/knee replacement measure,Better complications and lower payment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10040,GADSDEN REGIONAL MEDICAL CENTER,During Index Hospital Admission,$12,$23,$20,0.06%,0.12%,0.1%,34,$75233.38,$5541.05,$4386.94,AL,N,Colonoscopy care,22,125,Medicare hospital spending per patient (Medicare Spending per Beneficiary), 1.043336,Payment for heart failure patients,No Different than the National Average Payment,437,"$17,144","$16,102","$18,195",Value of Care Heart Failure measure,Average mortality and average payment,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10044,MARION REGIONAL MEDICAL CENTER,1 to 3 days Prior to Index Hospital Admission,$0,$2,$2,0%,0.01%,0.01%,41,$18480.43,$6532.14,$5708.53,AL,Yes,Preventive Care,96,282,Medicare hospital spending per patient (Medicare Spending per Beneficiary),  .896746,Payment for heart attack patients,Number of Cases Too Small,Not Available,Not Available,Not Available,Not Available,Value of Care Heart Attack measure,Not Available,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
10045,FAYETTE MEDICAL CENTER,During Index Hospital Admission,$0,$0,$0,0%,0%,0%,11,$30234.54,$10979.18,$10258.81,AL,Y,Emergency Department,1,14114,Medicare hospital spending per patient (Medicare Spending per Beneficiary),  .923552,Payment for heart attack patients,Number of Cases Too Small,Not Available,Not Available,Not Available,Not Available,Value of Care Heart Attack measure,Not Available,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
10046,RIVERVIEW REGIONAL MEDICAL CENTER,1 to 3 days Prior to Index Hospital Admission,$451,$495,$536,2.66%,2.58%,2.64%,14,$67327.92,$5461.57,$4493.57,AL,Y,Cancer care,Not Available,Not Available,Medicare hospital spending per patient (Medicare Spending per Beneficiary),  .918750,Payment for heart attack patients,No Different than the National Average Payment,103,"$24,336","$21,886","$27,137",Value of Care Heart Attack measure,Average mortality and average payment,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10047,GEORGIANA MEDICAL CENTER,Complete Episode,$11705,$19139,$20302,100%,100%,100%,32,$5062.59,$4277.31,$3386.18,AL,N,Emergency Department,143,388,Medicare hospital spending per patient (Medicare Spending per Beneficiary),  .914691,Payment for hip/knee replacement patients,Not Available,Not Available,Not Available,Not Available,Not Available,Value of Care hip/knee replacement measure,Not Available,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10049,MEDICAL CENTER ENTERPRISE,During Index Hospital Admission,$7694,$9213,$9676,44.34%,48.14%,47.66%,13,$21597.46,$4634.61,$3860.76,AL,N,Heart Attack or Chest Pain,Not Available,Not Available,Medicare hospital spending per patient (Medicare Spending per Beneficiary), 1.038634,Payment for heart failure patients,No Different than the National Average Payment,113,"$14,599","$13,059","$16,230",Value of Care Heart Failure measure,Worse mortality and average payment,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
10051,GREENE COUNTY HOSPITAL,During Index Hospital Admission,$0,$0,$0,0%,0%,0%,13,$6728.00,$8403.84,$7625.07,AL,Yes,Emergency Department,54,287,Medicare hospital spending per patient (Medicare Spending per Beneficiary),  .857762,Payment for heart failure patients,No Different than the National Average Payment,35,"$14,241","$12,275","$16,706",Value of Care Heart Failure measure,Average mortality and average payment,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10052,LAKE MARTIN COMMUNITY HOSPITAL,1 to 3 days Prior to Index Hospital Admission,$30,$85,$126,0.27%,0.45%,0.62%,17,$5797.00,$7493.88,$6768.94,AL,No,Emergency Department,1,5511,Medicare hospital spending per patient (Medicare Spending per Beneficiary),  .819925,Payment for heart failure patients,No Different than the National Average Payment,25,"$14,236","$12,049","$16,690",Value of Care Heart Failure measure,Average mortality and average payment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
10055,FLOWERS HOSPITAL,Complete Episode,$19810,$19139,$20302,100%,100%,100%,45,$39607.28,$5356.28,$4408.20,AL,Y,Emergency Department,"High (40,000 - 59,999 patients annually)",169,Medicare hospital spending per patient (Medicare Spending per Beneficiary), 1.025085,Payment for hip/knee replacement patients,Greater than the National Average Payment,495,"$25,398","$24,547","$26,274",Value of Care hip/knee replacement measure,Average complications and higher payment,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10056,ST VINCENT'S BIRMINGHAM,1 to 3 days Prior to Index Hospital Admission,$0,$1,$0,0%,0.01%,0%,43,$22862.23,$5374.65,$4186.02,AL,Yes,Cataract surgery outcome,Not Available,Not Available,Medicare hospital spending per patient (Medicare Spending per Beneficiary), 1.026772,Payment for pneumonia patients,No Different than the National Average Payment,689,"$17,036","$16,235","$17,825",Value of Care Pneumonia measure,Average mortality and average payment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10058,BIBB MEDICAL CENTER,1 to 3 days Prior to Index Hospital Admission,$0,$13,$11,0%,0.07%,0.05%,14,$6553.57,$4632.21,$3913.64,AL,Yes,Emergency Department,17,467,Medicare hospital spending per patient (Medicare Spending per Beneficiary), 1.016710,Payment for pneumonia patients,Less than the National Average Payment,94,"$14,321","$12,602","$15,921",Value of Care Pneumonia measure,Average mortality and lower payment,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10059,LAWRENCE MEDICAL CENTER,1 to 3 days Prior to Index Hospital Admission,$0,$13,$11,0%,0.07%,0.05%,12,$21815.08,$10921.91,$10361.25,AL,Yes,Blood Clot Prevention and Treatment,Not Available,Not Available,Medicare hospital spending per patient (Medicare Spending per Beneficiary),  .995245,Payment for heart attack patients,Number of Cases Too Small,Not Available,Not Available,Not Available,Not Available,Value of Care Heart Attack measure,Not Available,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10061,HIGHLANDS MEDICAL CENTER,During Index Hospital Admission,$9,$23,$20,0.06%,0.12%,0.1%,11,$9692.54,$4148.00,$3433.45,AL,Yes,Emergency Department,45,749,Medicare hospital spending per patient (Medicare Spending per Beneficiary),  .988004,Payment for heart attack patients,Number of Cases Too Small,Not Available,Not Available,Not Available,Not Available,Value of Care Heart Attack measure,Not Available,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10062,WIREGRASS MEDICAL CENTER,1 to 3 days Prior to Index Hospital Admission,$5,$5,$6,0.04%,0.03%,0.03%,16,$16135.43,$11614.43,$10908.93,AL,Yes,Heart Attack or Chest Pain,Not Available,Not Available,Medicare hospital spending per patient (Medicare Spending per Beneficiary), 1.010763,Payment for pneumonia patients,Less than the National Average Payment,151,"$14,818","$13,458","$16,189",Value of Care Pneumonia measure,Average mortality and lower payment,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10065,RUSSELL HOSPITAL,1 to 3 days Prior to Index Hospital Admission,$9,$8,$7,0.05%,0.04%,0.04%,13,$8942.76,$4213.07,$2835.38,AL,N,Emergency Department,"Medium (20,000 - 39,999 patients annually)",Not Available,Medicare hospital spending per patient (Medicare Spending per Beneficiary),  .977498,Payment for heart failure patients,No Different than the National Average Payment,198,"$17,238","$15,812","$18,776",Value of Care Heart Failure measure,Average mortality and average payment,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10069,MEDICAL CENTER BARBOUR,During Index Hospital Admission,$0,$0,$0,0%,0%,0%,16,$14024.93,$7121.68,$4897.43,AL,Yes,Heart Attack or Chest Pain,100,171,Medicare hospital spending per patient (Medicare Spending per Beneficiary),  .923554,Payment for heart failure patients,Less than the National Average Payment,70,"$13,962","$12,297","$15,979",Value of Care Heart Failure measure,Average mortality and lower payment,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10073,CLAY COUNTY HOSPITAL,1 to 3 days Prior to Index Hospital Admission,$5,$5,$6,0.04%,0.03%,0.03%,13,$12253.46,$6338.07,$5041.53,AL,Yes,Colonoscopy care,62,16,Medicare hospital spending per patient (Medicare Spending per Beneficiary),  .972676,Payment for heart attack patients,Number of Cases Too Small,Not Available,Not Available,Not Available,Not Available,Value of Care Heart Attack measure,Not Available,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10078,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,1 to 3 days Prior to Index Hospital Admission,$1,$2,$2,0.01%,0.01%,0.01%,21,$31110.85,$5366.23,$4376.23,AL,Y,Heart Attack or Chest Pain,93,30,Medicare hospital spending per patient (Medicare Spending per Beneficiary), 1.024099,Payment for heart failure patients,Less than the National Average Payment,537,"$14,993","$14,185","$15,862",Value of Care Heart Failure measure,Average mortality and lower payment,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10079,ATHENS LIMESTONE HOSPITAL,1 to 3 days Prior to Index Hospital Admission,$6,$8,$7,0.03%,0.04%,0.04%,25,$14489.52,$6703.92,$5668.88,AL,N,Emergency Department,3,34315,Medicare hospital spending per patient (Medicare Spending per Beneficiary),  .959742,Payment for heart failure patients,No Different than the National Average Payment,171,"$14,822","$13,510","$16,317",Value of Care Heart Failure measure,Average mortality and average payment,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
10083,SOUTH BALDWIN REGIONAL MEDICAL CENTER,During Index Hospital Admission,$0,$0,$0,0%,0%,0%,15,$25411.33,$5282.93,$4383.73,AL,No,Heart Attack or Chest Pain,Not Available,Not Available,Medicare hospital spending per patient (Medicare Spending per Beneficiary),  .986231,Payment for heart failure patients,No Different than the National Average Payment,318,"$15,437","$14,356","$16,553",Value of Care Heart Failure measure,Average mortality and average payment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
10085,DECATUR MORGAN HOSPITAL - DECATUR CAMPUS,1 to 3 days Prior to Index Hospital Admission,$2,$2,$2,0.01%,0.01%,0.01%,27,$9234.51,$5676.55,$4509.11,AL,N,Emergency Department,329,623,Medicare hospital spending per patient (Medicare Spending per Beneficiary),  .999054,Payment for heart failure patients,Less than the National Average Payment,576,"$14,544","$13,735","$15,368",Value of Care Heart Failure measure,Average mortality and lower payment,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10086,NORTHWEST MEDICAL CENTER,During Index Hospital Admission,$0,$0,$0,0%,0%,0%,14,$36735.35,$10926.50,$9929.50,AL,Y,Emergency Department,114,361,Medicare hospital spending per patient (Medicare Spending per Beneficiary),  .995740,Payment for heart attack patients,Number of Cases Too Small,Not Available,Not Available,Not Available,Not Available,Value of Care Heart Attack measure,Not Available,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
10087,UNIVERSITY OF SOUTH ALABAMA MEDICAL CENTER,1 to 3 days Prior to Index Hospital Admission,$5,$8,$7,0.02%,0.04%,0.04%,13,$15505.53,$14533.00,$12459.76,AL,Y,Preventive Care,99,2042,Medicare hospital spending per patient (Medicare Spending per Beneficiary),  .940880,Payment for heart failure patients,No Different than the National Average Payment,27,"$15,200","$13,033","$17,893",Value of Care Heart Failure measure,Average mortality and average payment,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
10089,WALKER BAPTIST MEDICAL CENTER,During Index Hospital Admission,$0,$0,$0,0%,0%,0%,15,$20160.73,$6642.20,$4924.60,AL,Y,Colonoscopy care,94,72,Medicare hospital spending per patient (Medicare Spending per Beneficiary),  .977069,Payment for heart failure patients,No Different than the National Average Payment,164,"$15,779","$14,317","$17,353",Value of Care Heart Failure measure,Average mortality and average payment,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10090,PROVIDENCE HOSPITAL,During Index Hospital Admission,$30,$23,$20,0.15%,0.12%,0.1%,27,$15895.85,$5930.11,$3972.85,AL,Y,Heart Attack or Chest Pain,Not Available,Not Available,Medicare hospital spending per patient (Medicare Spending per Beneficiary),  .992094,Payment for pneumonia patients,No Different than the National Average Payment,588,"$16,318","$15,525","$17,132",Value of Care Pneumonia measure,Average mortality and average payment,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
10091,GROVE HILL MEMORIAL HOSPITAL,1 through 30 days After Discharge from Index Hospital Admission,$736,$849,$697,7.08%,4.44%,3.43%,11,$8431.09,$4870.81,$4256.27,AL,N,Emergency Department,158,366,Medicare hospital spending per patient (Medicare Spending per Beneficiary),  .835217,Payment for pneumonia patients,No Different than the National Average Payment,59,"$14,967","$12,931","$17,106",Value of Care Pneumonia measure,Average mortality and average payment,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
