Provider_ID,Hospital Name,City,State,Measure Name,Measure Response
330104,NYACK HOSPITAL,NYACK,NY,"Able to track patients’ lab results, tests, and referrals electronically between visits",Yes
330229,BROOKS MEMORIAL HOSPITAL,DUNKIRK,NY,Patient Safety Culture,Y
330103,OLEAN GENERAL HOSPITAL,OLEAN,NY,General Surgery Registry,N
330214,NYU HOSPITALS CENTER,NEW YORK,NY,Multispecialty surgical registry,Y
330108,"ST JOSEPH'S HOSPITAL, INC",ELMIRA,NY,Patient Safety Culture,Y
330162,NORTHERN WESTCHESTER HOSPITAL,MOUNT KISCO,NY,"Able to track patients’ lab results, tests, and referrals electronically between visits",Yes
330100,N Y EYE AND EAR INFIRMARY,NEW YORK,NY,Safe surgery checklist use (inpatient),Y
330073,UNITED MEMORIAL MEDICAL CENTER,BATAVIA,NY,"Able to track patients’ lab results, tests, and referrals electronically between visits",Yes
330180,SAMARITAN HOSPITAL,TROY,NY,General Surgery Registry,Y
330107,PECONIC BAY MEDICAL CENTER,RIVERHEAD,NY,Safe surgery checklist use (outpatient),Yes
330102,KENMORE MERCY HOSPITAL,KENMORE,NY,"Able to track patients’ lab results, tests, and referrals electronically between visits",Yes
330191,GLENS FALLS HOSPITAL,GLENS FALLS,NY,Nursing care registry,Y
330096,JONES MEMORIAL HOSPITAL,WELLSVILLE,NY,Patient Safety Culture,Y
330128,ELMHURST HOSPITAL CENTER,ELMHURST,NY,General Surgery Registry,Y
330144,"IRA DAVENPORT MEMORIAL HOSPITAL, INC",BATH,NY,"Able to track patients’ lab results, tests, and referrals electronically between visits",No
330115,ONEIDA HEALTHCARE,ONEIDA,NY,Patient Safety Culture,N
330193,FLUSHING HOSPITAL MEDICAL CENTER,FLUSHING,NY,Safe surgery checklist use (inpatient),Y
330126,ORANGE REGIONAL MEDICAL CENTER,MIDDLETOWN,NY,Nursing care registry,Y
330399,ST BARNABAS HOSPITAL,BRONX,NY,Able to receive lab results electronically,Yes
330084,ALICE HYDE MEDICAL CENTER,MALONE,NY,General Surgery Registry,N
10012,DEKALB REGIONAL MEDICAL CENTER,FORT PAYNE,AL,Able to receive lab results electronically,Yes
10012,DEKALB REGIONAL MEDICAL CENTER,FORT PAYNE,AL,"Able to track patients’ lab results, tests, and referrals electronically between visits",Yes
10012,DEKALB REGIONAL MEDICAL CENTER,FORT PAYNE,AL,Safe surgery checklist use (outpatient),Yes
10012,DEKALB REGIONAL MEDICAL CENTER,FORT PAYNE,AL,Patient Safety Culture,N
10012,DEKALB REGIONAL MEDICAL CENTER,FORT PAYNE,AL,General Surgery Registry,N
10012,DEKALB REGIONAL MEDICAL CENTER,FORT PAYNE,AL,Nursing care registry,N
10012,DEKALB REGIONAL MEDICAL CENTER,FORT PAYNE,AL,Safe surgery checklist use (inpatient),Y
330197,CANTON-POTSDAM HOSPITAL,POTSDAM,NY,Able to receive lab results electronically,Yes
330106,NORTH SHORE UNIVERSITY HOSPITAL,MANHASSET,NY,Able to receive lab results electronically,Yes
330193,FLUSHING HOSPITAL MEDICAL CENTER,FLUSHING,NY,Able to receive lab results electronically,Yes
330151,ST JAMES MERCY HOSPITAL,HORNELL,NY,Safe surgery checklist use (inpatient),Y
330163,EASTERN NIAGARA HOSPITAL,LOCKPORT,NY,Patient Safety Culture,Y
330144,"IRA DAVENPORT MEMORIAL HOSPITAL, INC",BATH,NY,Able to receive lab results electronically,Yes
330208,ST JOHN'S RIVERSIDE HOSPITAL,YONKERS,NY,Patient Safety Culture,N
330158,GOOD SAMARITAN HOSPITAL OF SUFFERN,SUFFERN,NY,Patient Safety Culture,Y
330128,ELMHURST HOSPITAL CENTER,ELMHURST,NY,Safe surgery checklist use (inpatient),Y
330084,ALICE HYDE MEDICAL CENTER,MALONE,NY,"Able to track patients’ lab results, tests, and referrals electronically between visits",Yes
330245,ST ELIZABETH MEDICAL CENTER,UTICA,NY,Patient Safety Culture,Y
330074,F F THOMPSON HOSPITAL,CANANDAIGUA,NY,General Surgery Registry,N
330191,GLENS FALLS HOSPITAL,GLENS FALLS,NY,Safe surgery checklist use (inpatient),Y
330197,CANTON-POTSDAM HOSPITAL,POTSDAM,NY,Nursing care registry,Y
330153,ELLIS HOSPITAL,SCHENECTADY,NY,Patient Safety Culture,Y
330273,PUTNAM HOSPITAL CENTER,CARMEL,NY,Patient Safety Culture,Y
330197,CANTON-POTSDAM HOSPITAL,POTSDAM,NY,"Able to track patients’ lab results, tests, and referrals electronically between visits",Yes
330135,BON SECOURS COMMUNITY HOSPITAL,PORT JERVIS,NY,Safe surgery checklist use (inpatient),Y
330065,NIAGARA FALLS MEMORIAL MEDICAL CENTER,NIAGARA FALLS,NY,Able to receive lab results electronically,Yes
330191,GLENS FALLS HOSPITAL,GLENS FALLS,NY,Patient Safety Culture,Y
330162,NORTHERN WESTCHESTER HOSPITAL,MOUNT KISCO,NY,Nursing care registry,Y
330196,CONEY ISLAND HOSPITAL,BROOKLYN,NY,"Able to track patients’ lab results, tests, and referrals electronically between visits",Yes
330279,MERCY HOSPITAL OF BUFFALO,BUFFALO,NY,Patient Safety Culture,Y
330078,SISTERS OF CHARITY HOSPITAL,BUFFALO,NY,Safe surgery checklist use (inpatient),Y
330103,OLEAN GENERAL HOSPITAL,OLEAN,NY,"Able to track patients’ lab results, tests, and referrals electronically between visits",Yes
330126,ORANGE REGIONAL MEDICAL CENTER,MIDDLETOWN,NY,Safe surgery checklist use (inpatient),Y
330160,STATEN ISLAND UNIVERSITY HOSPITAL,STATEN ISLAND,NY,"Able to track patients’ lab results, tests, and referrals electronically between visits",No
330059,MONTEFIORE MEDICAL CENTER,BRONX,NY,Able to receive lab results electronically,Yes
330119,LENOX HILL HOSPITAL,NEW YORK,NY,Safe surgery checklist use (inpatient),Y
330157,SAMARITAN MEDICAL CENTER,WATERTOWN,NY,Safe surgery checklist use (inpatient),Y
330157,SAMARITAN MEDICAL CENTER,WATERTOWN,NY,Patient Safety Culture,Y
330102,KENMORE MERCY HOSPITAL,KENMORE,NY,Safe surgery checklist use (outpatient),Yes
330167,NYU WINTHROP HOSPITAL,MINEOLA,NY,"Able to track patients’ lab results, tests, and referrals electronically between visits",Yes
330185,JOHN T MATHER MEMORIAL HOSPITAL  OF PORT JEFFERSON,PORT JEFFERSON,NY,Patient Safety Culture,Y
330197,CANTON-POTSDAM HOSPITAL,POTSDAM,NY,Safe surgery checklist use (inpatient),Y
330234,WESTCHESTER MEDICAL CENTER,VALHALLA,NY,"Able to track patients’ lab results, tests, and referrals electronically between visits",Yes
330167,NYU WINTHROP HOSPITAL,MINEOLA,NY,Patient Safety Culture,Y
330194,MAIMONIDES MEDICAL CENTER,BROOKLYN,NY,Nursing care registry,Y
330084,ALICE HYDE MEDICAL CENTER,MALONE,NY,Patient Safety Culture,Y
330141,BROOKHAVEN MEMORIAL HOSPITAL MEDICAL CENTER,PATCHOGUE,NY,Nursing care registry,Y
330108,"ST JOSEPH'S HOSPITAL, INC",ELMIRA,NY,Safe surgery checklist use (outpatient),Yes
330128,ELMHURST HOSPITAL CENTER,ELMHURST,NY,Able to receive lab results electronically,Yes
330169,MOUNT SINAI BETH ISRAEL/PETRIE CAMPUS,NEW YORK,NY,"Able to track patients’ lab results, tests, and referrals electronically between visits",Yes
330094,COLUMBIA MEMORIAL HOSPITAL,HUDSON,NY,Safe surgery checklist use (inpatient),Y
330125,ROCHESTER GENERAL HOSPITAL,ROCHESTER,NY,Safe surgery checklist use (outpatient),Yes
330119,LENOX HILL HOSPITAL,NEW YORK,NY,Patient Safety Culture,Y
330399,ST BARNABAS HOSPITAL,BRONX,NY,Safe surgery checklist use (inpatient),Y
330166,"WESTFIELD MEMORIAL HOSPITAL, INC",WESTFIELD,NY,Safe surgery checklist use (inpatient),Y
330169,MOUNT SINAI BETH ISRAEL/PETRIE CAMPUS,NEW YORK,NY,Safe surgery checklist use (outpatient),Yes
330115,ONEIDA HEALTHCARE,ONEIDA,NY,Nursing care registry,N
330169,MOUNT SINAI BETH ISRAEL/PETRIE CAMPUS,NEW YORK,NY,Able to receive lab results electronically,Yes
330331,PLAINVIEW HOSPITAL,PLAINVIEW,NY,Safe surgery checklist use (inpatient),Y
330102,KENMORE MERCY HOSPITAL,KENMORE,NY,Patient Safety Culture,Y
10032,WEDOWEE HOSPITAL,WEDOWEE,AL,Able to receive lab results electronically,Yes
10032,WEDOWEE HOSPITAL,WEDOWEE,AL,"Able to track patients’ lab results, tests, and referrals electronically between visits",No
10032,WEDOWEE HOSPITAL,WEDOWEE,AL,Safe surgery checklist use (outpatient),Yes
10032,WEDOWEE HOSPITAL,WEDOWEE,AL,Patient Safety Culture,N
10032,WEDOWEE HOSPITAL,WEDOWEE,AL,General Surgery Registry,N
10032,WEDOWEE HOSPITAL,WEDOWEE,AL,Nursing care registry,N
10032,WEDOWEE HOSPITAL,WEDOWEE,AL,Safe surgery checklist use (inpatient),N
330201,KINGSBROOK JEWISH MEDICAL CENTER,BROOKLYN,NY,"Able to track patients’ lab results, tests, and referrals electronically between visits",Yes
330153,ELLIS HOSPITAL,SCHENECTADY,NY,Able to receive lab results electronically,Yes
330111,BERTRAND CHAFFEE HOSPITAL,SPRINGVILLE,NY,Patient Safety Culture,N
330201,KINGSBROOK JEWISH MEDICAL CENTER,BROOKLYN,NY,Able to receive lab results electronically,Yes
330078,SISTERS OF CHARITY HOSPITAL,BUFFALO,NY,Patient Safety Culture,Y
330163,EASTERN NIAGARA HOSPITAL,LOCKPORT,NY,General Surgery Registry,N
330261,PHELPS MEMORIAL HOSPITAL ASSN,SLEEPY HOLLOW,NY,Nursing care registry,Y
330222,SARATOGA HOSPITAL,SARATOGA SPRINGS,NY,General Surgery Registry,Y
330232,ST MARY'S HOSPITAL ( TROY ),TROY,NY,Nursing care registry,Y
330080,LINCOLN MEDICAL & MENTAL HEALTH CENTER,BRONX,NY,"Able to track patients’ lab results, tests, and referrals electronically between visits",Yes
330059,MONTEFIORE MEDICAL CENTER,BRONX,NY,Safe surgery checklist use (inpatient),Y
330184,MONTEFIORE NEW ROCHELLE HOSPITAL,NEW ROCHELLE,NY,Safe surgery checklist use (inpatient),Y
330208,ST JOHN'S RIVERSIDE HOSPITAL,YONKERS,NY,Safe surgery checklist use (inpatient),Y
330185,JOHN T MATHER MEMORIAL HOSPITAL  OF PORT JEFFERSON,PORT JEFFERSON,NY,General Surgery Registry,Y
330175,"CORTLAND REGIONAL MEDICAL CENTER, INC",CORTLAND,NY,"Able to track patients’ lab results, tests, and referrals electronically between visits",Yes
330160,STATEN ISLAND UNIVERSITY HOSPITAL,STATEN ISLAND,NY,Able to receive lab results electronically,Yes
330065,NIAGARA FALLS MEMORIAL MEDICAL CENTER,NIAGARA FALLS,NY,Nursing care registry,N
330100,N Y EYE AND EAR INFIRMARY,NEW YORK,NY,General Surgery Registry,N
330096,JONES MEMORIAL HOSPITAL,WELLSVILLE,NY,General Surgery Registry,N
330401,ST CATHERINE OF SIENA HOSPITAL,SMITHTOWN,NY,Safe surgery checklist use (inpatient),Y
330096,JONES MEMORIAL HOSPITAL,WELLSVILLE,NY,Safe surgery checklist use (outpatient),Yes
330101,NEW YORK-PRESBYTERIAN HOSPITAL,NEW YORK,NY,Able to receive lab results electronically,Yes
330094,COLUMBIA MEMORIAL HOSPITAL,HUDSON,NY,Nursing care registry,Y
330126,ORANGE REGIONAL MEDICAL CENTER,MIDDLETOWN,NY,Patient Safety Culture,Y
330106,NORTH SHORE UNIVERSITY HOSPITAL,MANHASSET,NY,Patient Safety Culture,Y
330214,NYU HOSPITALS CENTER,NEW YORK,NY,Able to receive lab results electronically,Yes
330182,"ST FRANCIS HOSPITAL, ROSLYN",ROSLYN,NY,Able to receive lab results electronically,Yes
330199,METROPOLITAN HOSPITAL CENTER,NEW YORK,NY,Able to receive lab results electronically,Yes
330125,ROCHESTER GENERAL HOSPITAL,ROCHESTER,NY,General Surgery Registry,Y
330079,ADIRONDACK MEDICAL CENTER,SARANAC LAKE,NY,General Surgery Registry,N
330074,F F THOMPSON HOSPITAL,CANANDAIGUA,NY,Safe surgery checklist use (inpatient),Y
330103,OLEAN GENERAL HOSPITAL,OLEAN,NY,Nursing care registry,Y
330167,NYU WINTHROP HOSPITAL,MINEOLA,NY,Safe surgery checklist use (inpatient),Y
330061,LAWRENCE HOSPITAL CENTER,BRONXVILLE,NY,Nursing care registry,Y
330193,FLUSHING HOSPITAL MEDICAL CENTER,FLUSHING,NY,Safe surgery checklist use (outpatient),Yes
330088,EASTERN LONG ISLAND HOSPITAL,GREENPORT,NY,"Able to track patients’ lab results, tests, and referrals electronically between visits",Yes
330162,NORTHERN WESTCHESTER HOSPITAL,MOUNT KISCO,NY,General Surgery Registry,N
330073,UNITED MEMORIAL MEDICAL CENTER,BATAVIA,NY,General Surgery Registry,Y
330151,ST JAMES MERCY HOSPITAL,HORNELL,NY,Able to receive lab results electronically,No
330201,KINGSBROOK JEWISH MEDICAL CENTER,BROOKLYN,NY,Safe surgery checklist use (inpatient),Y
330180,SAMARITAN HOSPITAL,TROY,NY,"Able to track patients’ lab results, tests, and referrals electronically between visits",Yes
330202,KINGS COUNTY HOSPITAL CENTER,BROOKLYN,NY,General Surgery Registry,N
330059,MONTEFIORE MEDICAL CENTER,BRONX,NY,Nursing care registry,Y
330194,MAIMONIDES MEDICAL CENTER,BROOKLYN,NY,Able to receive lab results electronically,Yes
330163,EASTERN NIAGARA HOSPITAL,LOCKPORT,NY,Safe surgery checklist use (outpatient),Yes
330175,"CORTLAND REGIONAL MEDICAL CENTER, INC",CORTLAND,NY,Safe surgery checklist use (outpatient),Yes
330193,FLUSHING HOSPITAL MEDICAL CENTER,FLUSHING,NY,General Surgery Registry,N
330164,HIGHLAND HOSPITAL,ROCHESTER,NY,General Surgery Registry,Y
330196,CONEY ISLAND HOSPITAL,BROOKLYN,NY,Safe surgery checklist use (outpatient),Yes
330094,COLUMBIA MEMORIAL HOSPITAL,HUDSON,NY,Able to receive lab results electronically,Yes
330096,JONES MEMORIAL HOSPITAL,WELLSVILLE,NY,Safe surgery checklist use (inpatient),Y
330132,TLC HEALTH NETWORK,IRVING,NY,Patient Safety Culture,Y
330065,NIAGARA FALLS MEMORIAL MEDICAL CENTER,NIAGARA FALLS,NY,General Surgery Registry,N
330135,BON SECOURS COMMUNITY HOSPITAL,PORT JERVIS,NY,Nursing care registry,Y
330160,STATEN ISLAND UNIVERSITY HOSPITAL,STATEN ISLAND,NY,Safe surgery checklist use (outpatient),Yes
330208,ST JOHN'S RIVERSIDE HOSPITAL,YONKERS,NY,General Surgery Registry,N
330203,CROUSE HOSPITAL,SYRACUSE,NY,"Able to track patients’ lab results, tests, and referrals electronically between visits",Yes
330184,MONTEFIORE NEW ROCHELLE HOSPITAL,NEW ROCHELLE,NY,"Able to track patients’ lab results, tests, and referrals electronically between visits",Yes
330158,GOOD SAMARITAN HOSPITAL OF SUFFERN,SUFFERN,NY,Safe surgery checklist use (outpatient),Yes
330111,BERTRAND CHAFFEE HOSPITAL,SPRINGVILLE,NY,"Able to track patients’ lab results, tests, and referrals electronically between visits",Yes
330191,GLENS FALLS HOSPITAL,GLENS FALLS,NY,Safe surgery checklist use (outpatient),Yes
330090,ARNOT OGDEN MEDICAL CENTER,ELMIRA,NY,General Surgery Registry,Y
330199,METROPOLITAN HOSPITAL CENTER,NEW YORK,NY,General Surgery Registry,N
330135,BON SECOURS COMMUNITY HOSPITAL,PORT JERVIS,NY,Safe surgery checklist use (outpatient),Yes
330153,ELLIS HOSPITAL,SCHENECTADY,NY,"Able to track patients’ lab results, tests, and referrals electronically between visits",Yes
330074,F F THOMPSON HOSPITAL,CANANDAIGUA,NY,Nursing care registry,Y
330160,STATEN ISLAND UNIVERSITY HOSPITAL,STATEN ISLAND,NY,Safe surgery checklist use (inpatient),Y
330182,"ST FRANCIS HOSPITAL, ROSLYN",ROSLYN,NY,Patient Safety Culture,Y
330079,ADIRONDACK MEDICAL CENTER,SARANAC LAKE,NY,"Able to track patients’ lab results, tests, and referrals electronically between visits",Yes
330135,BON SECOURS COMMUNITY HOSPITAL,PORT JERVIS,NY,"Able to track patients’ lab results, tests, and referrals electronically between visits",Yes
330164,HIGHLAND HOSPITAL,ROCHESTER,NY,Multispecialty surgical registry,Y
330175,"CORTLAND REGIONAL MEDICAL CENTER, INC",CORTLAND,NY,Safe surgery checklist use (inpatient),Y
330104,NYACK HOSPITAL,NYACK,NY,Safe surgery checklist use (outpatient),Yes
330158,GOOD SAMARITAN HOSPITAL OF SUFFERN,SUFFERN,NY,General Surgery Registry,Y
330119,LENOX HILL HOSPITAL,NEW YORK,NY,Nursing care registry,N
330246,ST CHARLES HOSPITAL,PORT JEFFERSON,NY,Able to receive lab results electronically,Yes
330184,MONTEFIORE NEW ROCHELLE HOSPITAL,NEW ROCHELLE,NY,Nursing care registry,Y
330204,BELLEVUE HOSPITAL CENTER,NEW YORK,NY,"Able to track patients’ lab results, tests, and referrals electronically between visits",Yes
330108,"ST JOSEPH'S HOSPITAL, INC",ELMIRA,NY,Able to receive lab results electronically,Yes
330115,ONEIDA HEALTHCARE,ONEIDA,NY,"Able to track patients’ lab results, tests, and referrals electronically between visits",Yes
330203,CROUSE HOSPITAL,SYRACUSE,NY,General Surgery Registry,N
330059,MONTEFIORE MEDICAL CENTER,BRONX,NY,"Able to track patients’ lab results, tests, and referrals electronically between visits",Yes
330204,BELLEVUE HOSPITAL CENTER,NEW YORK,NY,Safe surgery checklist use (inpatient),Y
330061,LAWRENCE HOSPITAL CENTER,BRONXVILLE,NY,General Surgery Registry,N
330188,MOUNT ST MARY'S HOSPITAL AND  HEALTH CENTER,LEWISTON,NY,Safe surgery checklist use (inpatient),Y
330088,EASTERN LONG ISLAND HOSPITAL,GREENPORT,NY,General Surgery Registry,N
330111,BERTRAND CHAFFEE HOSPITAL,SPRINGVILLE,NY,Nursing care registry,N
330205,ST ANTHONY COMMUNITY HOSPITAL,WARWICK,NY,Safe surgery checklist use (outpatient),Yes
330223,MASSENA MEMORIAL HOSPITAL,MASSENA,NY,Safe surgery checklist use (inpatient),Y
330196,CONEY ISLAND HOSPITAL,BROOKLYN,NY,Nursing care registry,Y
330184,MONTEFIORE NEW ROCHELLE HOSPITAL,NEW ROCHELLE,NY,Safe surgery checklist use (outpatient),Yes
330197,CANTON-POTSDAM HOSPITAL,POTSDAM,NY,Safe surgery checklist use (outpatient),Yes
330102,KENMORE MERCY HOSPITAL,KENMORE,NY,Nursing care registry,Y
330141,BROOKHAVEN MEMORIAL HOSPITAL MEDICAL CENTER,PATCHOGUE,NY,General Surgery Registry,N
330175,"CORTLAND REGIONAL MEDICAL CENTER, INC",CORTLAND,NY,Patient Safety Culture,Y
330166,"WESTFIELD MEMORIAL HOSPITAL, INC",WESTFIELD,NY,Able to receive lab results electronically,Yes
330211,CLAXTON-HEPBURN MEDICAL CENTER,OGDENSBURG,NY,Safe surgery checklist use (outpatient),Yes
330399,ST BARNABAS HOSPITAL,BRONX,NY,Patient Safety Culture,Y
330169,MOUNT SINAI BETH ISRAEL/PETRIE CAMPUS,NEW YORK,NY,General Surgery Registry,Y
330100,N Y EYE AND EAR INFIRMARY,NEW YORK,NY,Safe surgery checklist use (outpatient),Yes
330265,CLIFTON SPRINGS HOSPITAL AND CLINIC,CLIFTON SPRINGS,NY,"Able to track patients’ lab results, tests, and referrals electronically between visits",Yes
330166,"WESTFIELD MEMORIAL HOSPITAL, INC",WESTFIELD,NY,Patient Safety Culture,N
330132,TLC HEALTH NETWORK,IRVING,NY,General Surgery Registry,N
330157,SAMARITAN MEDICAL CENTER,WATERTOWN,NY,"Able to track patients’ lab results, tests, and referrals electronically between visits",Yes
330265,CLIFTON SPRINGS HOSPITAL AND CLINIC,CLIFTON SPRINGS,NY,General Surgery Registry,N
330188,MOUNT ST MARY'S HOSPITAL AND  HEALTH CENTER,LEWISTON,NY,"Able to track patients’ lab results, tests, and referrals electronically between visits",Yes
330126,ORANGE REGIONAL MEDICAL CENTER,MIDDLETOWN,NY,General Surgery Registry,N
330101,NEW YORK-PRESBYTERIAN HOSPITAL,NEW YORK,NY,Safe surgery checklist use (inpatient),Y
330079,ADIRONDACK MEDICAL CENTER,SARANAC LAKE,NY,Patient Safety Culture,Y
330164,HIGHLAND HOSPITAL,ROCHESTER,NY,Nursing care registry,Y
330059,MONTEFIORE MEDICAL CENTER,BRONX,NY,General Surgery Registry,Y
330080,LINCOLN MEDICAL & MENTAL HEALTH CENTER,BRONX,NY,Able to receive lab results electronically,Yes
330188,MOUNT ST MARY'S HOSPITAL AND  HEALTH CENTER,LEWISTON,NY,Nursing care registry,N
330193,FLUSHING HOSPITAL MEDICAL CENTER,FLUSHING,NY,Patient Safety Culture,Y
330125,ROCHESTER GENERAL HOSPITAL,ROCHESTER,NY,"Able to track patients’ lab results, tests, and referrals electronically between visits",Yes
330153,ELLIS HOSPITAL,SCHENECTADY,NY,Safe surgery checklist use (inpatient),Y
330201,KINGSBROOK JEWISH MEDICAL CENTER,BROOKLYN,NY,Safe surgery checklist use (outpatient),Yes
330211,CLAXTON-HEPBURN MEDICAL CENTER,OGDENSBURG,NY,"Able to track patients’ lab results, tests, and referrals electronically between visits",Yes
330202,KINGS COUNTY HOSPITAL CENTER,BROOKLYN,NY,Able to receive lab results electronically,Yes
330208,ST JOHN'S RIVERSIDE HOSPITAL,YONKERS,NY,Safe surgery checklist use (outpatient),Yes
330194,MAIMONIDES MEDICAL CENTER,BROOKLYN,NY,Safe surgery checklist use (outpatient),Yes
330144,"IRA DAVENPORT MEMORIAL HOSPITAL, INC",BATH,NY,General Surgery Registry,N
330204,BELLEVUE HOSPITAL CENTER,NEW YORK,NY,Safe surgery checklist use (outpatient),Yes
330167,NYU WINTHROP HOSPITAL,MINEOLA,NY,Multispecialty surgical registry,Y
330094,COLUMBIA MEMORIAL HOSPITAL,HUDSON,NY,Patient Safety Culture,Y
331314,SOLDIERS AND SAILORS MEMORIAL HOSPITAL OF YATES,PENN YAN,NY,"Able to track patients’ lab results, tests, and referrals electronically between visits",Yes
330078,SISTERS OF CHARITY HOSPITAL,BUFFALO,NY,"Able to track patients’ lab results, tests, and referrals electronically between visits",Yes
330307,CAYUGA MEDICAL CENTER AT ITHACA,ITHACA,NY,Patient Safety Culture,Y
330128,ELMHURST HOSPITAL CENTER,ELMHURST,NY,"Able to track patients’ lab results, tests, and referrals electronically between visits",Yes
330199,METROPOLITAN HOSPITAL CENTER,NEW YORK,NY,"Able to track patients’ lab results, tests, and referrals electronically between visits",Yes
330088,EASTERN LONG ISLAND HOSPITAL,GREENPORT,NY,Patient Safety Culture,Y
330079,ADIRONDACK MEDICAL CENTER,SARANAC LAKE,NY,Safe surgery checklist use (outpatient),Yes
330232,ST MARY'S HOSPITAL ( TROY ),TROY,NY,Patient Safety Culture,Y
330061,LAWRENCE HOSPITAL CENTER,BRONXVILLE,NY,Able to receive lab results electronically,Yes
330157,SAMARITAN MEDICAL CENTER,WATERTOWN,NY,Safe surgery checklist use (outpatient),Yes
330182,"ST FRANCIS HOSPITAL, ROSLYN",ROSLYN,NY,Nursing care registry,Y
330080,LINCOLN MEDICAL & MENTAL HEALTH CENTER,BRONX,NY,General Surgery Registry,Y
330103,OLEAN GENERAL HOSPITAL,OLEAN,NY,Safe surgery checklist use (outpatient),Yes
330169,MOUNT SINAI BETH ISRAEL/PETRIE CAMPUS,NEW YORK,NY,Patient Safety Culture,Y
330158,GOOD SAMARITAN HOSPITAL OF SUFFERN,SUFFERN,NY,"Able to track patients’ lab results, tests, and referrals electronically between visits",Yes
330132,TLC HEALTH NETWORK,IRVING,NY,Nursing care registry,N
330132,TLC HEALTH NETWORK,IRVING,NY,Able to receive lab results electronically,No
330151,ST JAMES MERCY HOSPITAL,HORNELL,NY,Patient Safety Culture,Y
330240,HARLEM HOSPITAL CENTER,NEW YORK,NY,"Able to track patients’ lab results, tests, and referrals electronically between visits",Yes
330188,MOUNT ST MARY'S HOSPITAL AND  HEALTH CENTER,LEWISTON,NY,Safe surgery checklist use (outpatient),Yes
330167,NYU WINTHROP HOSPITAL,MINEOLA,NY,Safe surgery checklist use (outpatient),Yes
330126,ORANGE REGIONAL MEDICAL CENTER,MIDDLETOWN,NY,Safe surgery checklist use (outpatient),Yes
330107,PECONIC BAY MEDICAL CENTER,RIVERHEAD,NY,"Able to track patients’ lab results, tests, and referrals electronically between visits",Yes
330153,ELLIS HOSPITAL,SCHENECTADY,NY,General Surgery Registry,N
330106,NORTH SHORE UNIVERSITY HOSPITAL,MANHASSET,NY,Safe surgery checklist use (inpatient),Y
330108,"ST JOSEPH'S HOSPITAL, INC",ELMIRA,NY,General Surgery Registry,N
330204,BELLEVUE HOSPITAL CENTER,NEW YORK,NY,Patient Safety Culture,Y
330065,NIAGARA FALLS MEMORIAL MEDICAL CENTER,NIAGARA FALLS,NY,Safe surgery checklist use (outpatient),Yes
330115,ONEIDA HEALTHCARE,ONEIDA,NY,Able to receive lab results electronically,Yes
330088,EASTERN LONG ISLAND HOSPITAL,GREENPORT,NY,Able to receive lab results electronically,Yes
330151,ST JAMES MERCY HOSPITAL,HORNELL,NY,Nursing care registry,N
330101,NEW YORK-PRESBYTERIAN HOSPITAL,NEW YORK,NY,General Surgery Registry,Y
330188,MOUNT ST MARY'S HOSPITAL AND  HEALTH CENTER,LEWISTON,NY,General Surgery Registry,N
330126,ORANGE REGIONAL MEDICAL CENTER,MIDDLETOWN,NY,"Able to track patients’ lab results, tests, and referrals electronically between visits",Yes
330140,ST JOSEPH'S HOSPITAL HEALTH CENTER,SYRACUSE,NY,"Able to track patients’ lab results, tests, and referrals electronically between visits",Yes
