Provider_ID,Hospital_Name,State,Claim_Type,AvgSpendPerEpHosp
10007,MIZELL MEMORIAL HOSPITAL,AL,Durable Medical Equipment,23.333333333333332
10007,MIZELL MEMORIAL HOSPITAL,AL,Home Health Agency,340.3333333333333
10007,MIZELL MEMORIAL HOSPITAL,AL,Hospice,38.666666666666664
10007,MIZELL MEMORIAL HOSPITAL,AL,Inpatient,2577.6666666666665
10007,MIZELL MEMORIAL HOSPITAL,AL,Outpatient,136.0
10007,MIZELL MEMORIAL HOSPITAL,AL,Skilled Nursing Facility,1542.6666666666667
10007,MIZELL MEMORIAL HOSPITAL,AL,Total,15899.0
10008,CRENSHAW COMMUNITY HOSPITAL,AL,Carrier,503.0
10008,CRENSHAW COMMUNITY HOSPITAL,AL,Durable Medical Equipment,23.0
10008,CRENSHAW COMMUNITY HOSPITAL,AL,Home Health Agency,202.33333333333334
10008,CRENSHAW COMMUNITY HOSPITAL,AL,Hospice,65.66666666666667
10008,CRENSHAW COMMUNITY HOSPITAL,AL,Inpatient,1899.3333333333333
10008,CRENSHAW COMMUNITY HOSPITAL,AL,Outpatient,172.33333333333334
10008,CRENSHAW COMMUNITY HOSPITAL,AL,Skilled Nursing Facility,1219.0
10008,CRENSHAW COMMUNITY HOSPITAL,AL,Total,12254.0
10011,ST. VINCENT'S EAST,AL,Carrier,1087.6666666666667
10011,ST. VINCENT'S EAST,AL,Durable Medical Equipment,30.666666666666668
10011,ST. VINCENT'S EAST,AL,Home Health Agency,276.3333333333333
10011,ST. VINCENT'S EAST,AL,Hospice,57.666666666666664
10011,ST. VINCENT'S EAST,AL,Inpatient,4111.333333333333
10011,ST. VINCENT'S EAST,AL,Outpatient,181.66666666666666
10011,ST. VINCENT'S EAST,AL,Skilled Nursing Facility,800.0
10011,ST. VINCENT'S EAST,AL,Total,19636.0
10012,DEKALB REGIONAL MEDICAL CENTER,AL,Carrier,679.3333333333334
10012,DEKALB REGIONAL MEDICAL CENTER,AL,Durable Medical Equipment,30.333333333333332
10012,DEKALB REGIONAL MEDICAL CENTER,AL,Home Health Agency,218.66666666666666
10012,DEKALB REGIONAL MEDICAL CENTER,AL,Hospice,84.66666666666667
10012,DEKALB REGIONAL MEDICAL CENTER,AL,Inpatient,2987.3333333333335
10012,DEKALB REGIONAL MEDICAL CENTER,AL,Outpatient,156.33333333333334
10012,DEKALB REGIONAL MEDICAL CENTER,AL,Skilled Nursing Facility,881.6666666666666
10012,DEKALB REGIONAL MEDICAL CENTER,AL,Total,15112.0
10016,SHELBY BAPTIST MEDICAL CENTER,AL,Carrier,1108.6666666666667
10016,SHELBY BAPTIST MEDICAL CENTER,AL,Durable Medical Equipment,35.0
10016,SHELBY BAPTIST MEDICAL CENTER,AL,Home Health Agency,356.6666666666667
10016,SHELBY BAPTIST MEDICAL CENTER,AL,Hospice,74.66666666666667
10016,SHELBY BAPTIST MEDICAL CENTER,AL,Inpatient,4143.0
10016,SHELBY BAPTIST MEDICAL CENTER,AL,Outpatient,166.66666666666666
10016,SHELBY BAPTIST MEDICAL CENTER,AL,Skilled Nursing Facility,781.0
10016,SHELBY BAPTIST MEDICAL CENTER,AL,Total,19997.0
10018,CALLAHAN EYE HOSPITAL,AL,Carrier,784.0
10018,CALLAHAN EYE HOSPITAL,AL,Durable Medical Equipment,2.0
10018,CALLAHAN EYE HOSPITAL,AL,Home Health Agency,0.0
10018,CALLAHAN EYE HOSPITAL,AL,Hospice,0.0
10018,CALLAHAN EYE HOSPITAL,AL,Inpatient,3424.6666666666665
10018,CALLAHAN EYE HOSPITAL,AL,Outpatient,403.3333333333333
10018,CALLAHAN EYE HOSPITAL,AL,Skilled Nursing Facility,0.0
10018,CALLAHAN EYE HOSPITAL,AL,Total,13842.0
10019,HELEN KELLER HOSPITAL,AL,Carrier,862.6666666666666
10019,HELEN KELLER HOSPITAL,AL,Durable Medical Equipment,24.666666666666668
10019,HELEN KELLER HOSPITAL,AL,Home Health Agency,350.6666666666667
10019,HELEN KELLER HOSPITAL,AL,Hospice,59.666666666666664
10019,HELEN KELLER HOSPITAL,AL,Inpatient,3548.3333333333335
10019,HELEN KELLER HOSPITAL,AL,Outpatient,171.0
10019,HELEN KELLER HOSPITAL,AL,Skilled Nursing Facility,1256.0
10019,HELEN KELLER HOSPITAL,AL,Total,18818.0
10021,DALE MEDICAL CENTER,AL,Carrier,630.6666666666666
10021,DALE MEDICAL CENTER,AL,Durable Medical Equipment,35.666666666666664
10021,DALE MEDICAL CENTER,AL,Home Health Agency,237.33333333333334
10021,DALE MEDICAL CENTER,AL,Hospice,53.0
10021,DALE MEDICAL CENTER,AL,Inpatient,2987.3333333333335
10021,DALE MEDICAL CENTER,AL,Outpatient,152.66666666666666
10021,DALE MEDICAL CENTER,AL,Skilled Nursing Facility,811.0
10021,DALE MEDICAL CENTER,AL,Total,14724.0
10022,CHEROKEE MEDICAL CENTER,AL,Carrier,401.6666666666667
10022,CHEROKEE MEDICAL CENTER,AL,Durable Medical Equipment,36.333333333333336
10022,CHEROKEE MEDICAL CENTER,AL,Home Health Agency,295.6666666666667
10022,CHEROKEE MEDICAL CENTER,AL,Hospice,86.66666666666667
10022,CHEROKEE MEDICAL CENTER,AL,Inpatient,2690.3333333333335
10022,CHEROKEE MEDICAL CENTER,AL,Outpatient,153.33333333333334
10022,CHEROKEE MEDICAL CENTER,AL,Skilled Nursing Facility,492.3333333333333
10022,CHEROKEE MEDICAL CENTER,AL,Total,12470.0
10023,BAPTIST MEDICAL CENTER SOUTH,AL,Carrier,1122.3333333333333
10023,BAPTIST MEDICAL CENTER SOUTH,AL,Durable Medical Equipment,93.33333333333333
10023,BAPTIST MEDICAL CENTER SOUTH,AL,Home Health Agency,266.0
10023,BAPTIST MEDICAL CENTER SOUTH,AL,Hospice,28.333333333333332
10023,BAPTIST MEDICAL CENTER SOUTH,AL,Inpatient,4700.333333333333
10023,BAPTIST MEDICAL CENTER SOUTH,AL,Outpatient,303.0
10023,BAPTIST MEDICAL CENTER SOUTH,AL,Skilled Nursing Facility,715.0
10023,BAPTIST MEDICAL CENTER SOUTH,AL,Total,21684.0
10024,JACKSON HOSPITAL & CLINIC INC,AL,Carrier,1117.0
10024,JACKSON HOSPITAL & CLINIC INC,AL,Durable Medical Equipment,45.666666666666664
10024,JACKSON HOSPITAL & CLINIC INC,AL,Home Health Agency,228.33333333333334
10024,JACKSON HOSPITAL & CLINIC INC,AL,Hospice,41.333333333333336
10024,JACKSON HOSPITAL & CLINIC INC,AL,Inpatient,4669.666666666667
10024,JACKSON HOSPITAL & CLINIC INC,AL,Outpatient,277.0
10024,JACKSON HOSPITAL & CLINIC INC,AL,Skilled Nursing Facility,816.6666666666666
10024,JACKSON HOSPITAL & CLINIC INC,AL,Total,21590.0
10029,EAST ALABAMA MEDICAL CENTER AND SNF,AL,Carrier,862.0
10029,EAST ALABAMA MEDICAL CENTER AND SNF,AL,Durable Medical Equipment,34.0
10029,EAST ALABAMA MEDICAL CENTER AND SNF,AL,Home Health Agency,279.3333333333333
10029,EAST ALABAMA MEDICAL CENTER AND SNF,AL,Hospice,72.66666666666667
10029,EAST ALABAMA MEDICAL CENTER AND SNF,AL,Inpatient,3990.3333333333335
10029,EAST ALABAMA MEDICAL CENTER AND SNF,AL,Outpatient,245.66666666666666
10029,EAST ALABAMA MEDICAL CENTER AND SNF,AL,Skilled Nursing Facility,556.3333333333334
10029,EAST ALABAMA MEDICAL CENTER AND SNF,AL,Total,18122.0
10032,WEDOWEE HOSPITAL,AL,Carrier,409.0
10032,WEDOWEE HOSPITAL,AL,Durable Medical Equipment,40.666666666666664
10032,WEDOWEE HOSPITAL,AL,Home Health Agency,300.6666666666667
10032,WEDOWEE HOSPITAL,AL,Hospice,193.0
10032,WEDOWEE HOSPITAL,AL,Inpatient,2222.6666666666665
10032,WEDOWEE HOSPITAL,AL,Outpatient,139.0
10032,WEDOWEE HOSPITAL,AL,Skilled Nursing Facility,434.0
10032,WEDOWEE HOSPITAL,AL,Total,11216.0
10033,UNIVERSITY OF ALABAMA HOSPITAL,AL,Carrier,1124.0
10033,UNIVERSITY OF ALABAMA HOSPITAL,AL,Durable Medical Equipment,73.66666666666667
10033,UNIVERSITY OF ALABAMA HOSPITAL,AL,Home Health Agency,285.3333333333333
10033,UNIVERSITY OF ALABAMA HOSPITAL,AL,Hospice,43.333333333333336
10033,UNIVERSITY OF ALABAMA HOSPITAL,AL,Inpatient,5343.0
10033,UNIVERSITY OF ALABAMA HOSPITAL,AL,Outpatient,397.3333333333333
10033,UNIVERSITY OF ALABAMA HOSPITAL,AL,Skilled Nursing Facility,528.6666666666666
10033,UNIVERSITY OF ALABAMA HOSPITAL,AL,Total,23386.0
10034,COMMUNITY HOSPITAL INC,AL,Carrier,595.6666666666666
10034,COMMUNITY HOSPITAL INC,AL,Durable Medical Equipment,19.0
10034,COMMUNITY HOSPITAL INC,AL,Home Health Agency,174.66666666666666
10034,COMMUNITY HOSPITAL INC,AL,Hospice,37.666666666666664
10034,COMMUNITY HOSPITAL INC,AL,Inpatient,2804.6666666666665
10034,COMMUNITY HOSPITAL INC,AL,Outpatient,127.66666666666667
10034,COMMUNITY HOSPITAL INC,AL,Skilled Nursing Facility,1140.6666666666667
10034,COMMUNITY HOSPITAL INC,AL,Total,14700.0
10035,CULLMAN REGIONAL MEDICAL CENTER,AL,Carrier,789.0
10035,CULLMAN REGIONAL MEDICAL CENTER,AL,Durable Medical Equipment,44.666666666666664
10035,CULLMAN REGIONAL MEDICAL CENTER,AL,Home Health Agency,299.6666666666667
10035,CULLMAN REGIONAL MEDICAL CENTER,AL,Hospice,65.66666666666667
10035,CULLMAN REGIONAL MEDICAL CENTER,AL,Inpatient,3228.0
10035,CULLMAN REGIONAL MEDICAL CENTER,AL,Outpatient,156.33333333333334
10035,CULLMAN REGIONAL MEDICAL CENTER,AL,Skilled Nursing Facility,1086.0
10035,CULLMAN REGIONAL MEDICAL CENTER,AL,Total,17009.0
10036,ANDALUSIA REGIONAL HOSPITAL,AL,Carrier,681.0
10036,ANDALUSIA REGIONAL HOSPITAL,AL,Durable Medical Equipment,35.666666666666664
10036,ANDALUSIA REGIONAL HOSPITAL,AL,Home Health Agency,346.3333333333333
10036,ANDALUSIA REGIONAL HOSPITAL,AL,Hospice,43.333333333333336
10036,ANDALUSIA REGIONAL HOSPITAL,AL,Inpatient,2970.3333333333335
10036,ANDALUSIA REGIONAL HOSPITAL,AL,Outpatient,194.33333333333334
10036,ANDALUSIA REGIONAL HOSPITAL,AL,Skilled Nursing Facility,824.0
10036,ANDALUSIA REGIONAL HOSPITAL,AL,Total,15286.0
10038,STRINGFELLOW MEMORIAL HOSPITAL,AL,Carrier,726.3333333333334
10038,STRINGFELLOW MEMORIAL HOSPITAL,AL,Durable Medical Equipment,26.0
10038,STRINGFELLOW MEMORIAL HOSPITAL,AL,Home Health Agency,239.0
10038,STRINGFELLOW MEMORIAL HOSPITAL,AL,Hospice,36.0
10038,STRINGFELLOW MEMORIAL HOSPITAL,AL,Inpatient,3084.3333333333335
10038,STRINGFELLOW MEMORIAL HOSPITAL,AL,Outpatient,148.0
10038,STRINGFELLOW MEMORIAL HOSPITAL,AL,Skilled Nursing Facility,632.0
10038,STRINGFELLOW MEMORIAL HOSPITAL,AL,Total,14674.0
10039,HUNTSVILLE HOSPITAL,AL,Carrier,1159.6666666666667
10039,HUNTSVILLE HOSPITAL,AL,Durable Medical Equipment,50.666666666666664
10039,HUNTSVILLE HOSPITAL,AL,Home Health Agency,256.3333333333333
10039,HUNTSVILLE HOSPITAL,AL,Hospice,44.666666666666664
10039,HUNTSVILLE HOSPITAL,AL,Inpatient,4330.0
10039,HUNTSVILLE HOSPITAL,AL,Outpatient,235.0
10039,HUNTSVILLE HOSPITAL,AL,Skilled Nursing Facility,910.6666666666666
10039,HUNTSVILLE HOSPITAL,AL,Total,20961.0
10040,GADSDEN REGIONAL MEDICAL CENTER,AL,Carrier,1027.0
10040,GADSDEN REGIONAL MEDICAL CENTER,AL,Durable Medical Equipment,41.0
10040,GADSDEN REGIONAL MEDICAL CENTER,AL,Home Health Agency,306.6666666666667
10040,GADSDEN REGIONAL MEDICAL CENTER,AL,Hospice,60.666666666666664
10040,GADSDEN REGIONAL MEDICAL CENTER,AL,Inpatient,4450.666666666667
10040,GADSDEN REGIONAL MEDICAL CENTER,AL,Outpatient,157.66666666666666
10040,GADSDEN REGIONAL MEDICAL CENTER,AL,Skilled Nursing Facility,788.3333333333334
10040,GADSDEN REGIONAL MEDICAL CENTER,AL,Total,20494.0
10044,MARION REGIONAL MEDICAL CENTER,AL,Carrier,357.0
10044,MARION REGIONAL MEDICAL CENTER,AL,Durable Medical Equipment,24.333333333333332
10044,MARION REGIONAL MEDICAL CENTER,AL,Home Health Agency,435.3333333333333
10044,MARION REGIONAL MEDICAL CENTER,AL,Hospice,42.0
10044,MARION REGIONAL MEDICAL CENTER,AL,Inpatient,2438.0
10044,MARION REGIONAL MEDICAL CENTER,AL,Outpatient,178.33333333333334
10044,MARION REGIONAL MEDICAL CENTER,AL,Skilled Nursing Facility,772.0
10044,MARION REGIONAL MEDICAL CENTER,AL,Total,12741.0
10045,FAYETTE MEDICAL CENTER,AL,Carrier,549.6666666666666
10045,FAYETTE MEDICAL CENTER,AL,Durable Medical Equipment,42.0
10045,FAYETTE MEDICAL CENTER,AL,Home Health Agency,314.6666666666667
10045,FAYETTE MEDICAL CENTER,AL,Hospice,78.33333333333333
10045,FAYETTE MEDICAL CENTER,AL,Inpatient,2935.3333333333335
10045,FAYETTE MEDICAL CENTER,AL,Outpatient,108.0
10045,FAYETTE MEDICAL CENTER,AL,Skilled Nursing Facility,902.3333333333334
10045,FAYETTE MEDICAL CENTER,AL,Total,14791.0
10046,RIVERVIEW REGIONAL MEDICAL CENTER,AL,Carrier,816.0
10046,RIVERVIEW REGIONAL MEDICAL CENTER,AL,Durable Medical Equipment,26.0
10046,RIVERVIEW REGIONAL MEDICAL CENTER,AL,Home Health Agency,227.0
10046,RIVERVIEW REGIONAL MEDICAL CENTER,AL,Hospice,60.666666666666664
10046,RIVERVIEW REGIONAL MEDICAL CENTER,AL,Inpatient,3725.3333333333335
10046,RIVERVIEW REGIONAL MEDICAL CENTER,AL,Outpatient,176.33333333333334
10046,RIVERVIEW REGIONAL MEDICAL CENTER,AL,Skilled Nursing Facility,621.6666666666666
10046,RIVERVIEW REGIONAL MEDICAL CENTER,AL,Total,16958.0
10047,GEORGIANA MEDICAL CENTER,AL,Carrier,349.6666666666667
10047,GEORGIANA MEDICAL CENTER,AL,Durable Medical Equipment,26.333333333333332
10047,GEORGIANA MEDICAL CENTER,AL,Home Health Agency,216.66666666666666
10047,GEORGIANA MEDICAL CENTER,AL,Hospice,44.666666666666664
10047,GEORGIANA MEDICAL CENTER,AL,Inpatient,2018.0
10047,GEORGIANA MEDICAL CENTER,AL,Outpatient,202.33333333333334
10047,GEORGIANA MEDICAL CENTER,AL,Skilled Nursing Facility,1045.0
10047,GEORGIANA MEDICAL CENTER,AL,Total,11705.0
10049,MEDICAL CENTER ENTERPRISE,AL,Carrier,709.6666666666666
10049,MEDICAL CENTER ENTERPRISE,AL,Durable Medical Equipment,42.0
10049,MEDICAL CENTER ENTERPRISE,AL,Home Health Agency,581.0
10049,MEDICAL CENTER ENTERPRISE,AL,Hospice,45.333333333333336
10049,MEDICAL CENTER ENTERPRISE,AL,Inpatient,3401.6666666666665
10049,MEDICAL CENTER ENTERPRISE,AL,Outpatient,105.66666666666667
10049,MEDICAL CENTER ENTERPRISE,AL,Skilled Nursing Facility,898.3333333333334
10049,MEDICAL CENTER ENTERPRISE,AL,Total,17350.0
10051,GREENE COUNTY HOSPITAL,AL,Carrier,393.3333333333333
10051,GREENE COUNTY HOSPITAL,AL,Durable Medical Equipment,31.0
10051,GREENE COUNTY HOSPITAL,AL,Home Health Agency,146.66666666666666
10051,GREENE COUNTY HOSPITAL,AL,Hospice,0.0
10051,GREENE COUNTY HOSPITAL,AL,Inpatient,2182.0
10051,GREENE COUNTY HOSPITAL,AL,Outpatient,258.6666666666667
10051,GREENE COUNTY HOSPITAL,AL,Skilled Nursing Facility,804.3333333333334
10051,GREENE COUNTY HOSPITAL,AL,Total,11450.0
10052,LAKE MARTIN COMMUNITY HOSPITAL,AL,Carrier,387.0
10052,LAKE MARTIN COMMUNITY HOSPITAL,AL,Durable Medical Equipment,16.666666666666668
10052,LAKE MARTIN COMMUNITY HOSPITAL,AL,Home Health Agency,283.0
10052,LAKE MARTIN COMMUNITY HOSPITAL,AL,Hospice,84.33333333333333
10052,LAKE MARTIN COMMUNITY HOSPITAL,AL,Inpatient,2189.0
10052,LAKE MARTIN COMMUNITY HOSPITAL,AL,Outpatient,230.66666666666666
10052,LAKE MARTIN COMMUNITY HOSPITAL,AL,Skilled Nursing Facility,458.0
10052,LAKE MARTIN COMMUNITY HOSPITAL,AL,Total,10946.0
10055,FLOWERS HOSPITAL,AL,Carrier,1018.3333333333334
10055,FLOWERS HOSPITAL,AL,Durable Medical Equipment,58.0
10055,FLOWERS HOSPITAL,AL,Home Health Agency,384.6666666666667
10055,FLOWERS HOSPITAL,AL,Hospice,49.666666666666664
10055,FLOWERS HOSPITAL,AL,Inpatient,4156.666666666667
10055,FLOWERS HOSPITAL,AL,Outpatient,215.0
10055,FLOWERS HOSPITAL,AL,Skilled Nursing Facility,721.3333333333334
10055,FLOWERS HOSPITAL,AL,Total,19810.0
10056,ST VINCENT'S BIRMINGHAM,AL,Carrier,1133.3333333333333
10056,ST VINCENT'S BIRMINGHAM,AL,Durable Medical Equipment,50.0
10056,ST VINCENT'S BIRMINGHAM,AL,Home Health Agency,354.0
10056,ST VINCENT'S BIRMINGHAM,AL,Hospice,60.333333333333336
10056,ST VINCENT'S BIRMINGHAM,AL,Inpatient,4659.666666666667
10056,ST VINCENT'S BIRMINGHAM,AL,Outpatient,175.33333333333334
10056,ST VINCENT'S BIRMINGHAM,AL,Skilled Nursing Facility,757.0
10056,ST VINCENT'S BIRMINGHAM,AL,Total,21567.0
10058,BIBB MEDICAL CENTER,AL,Carrier,367.0
10058,BIBB MEDICAL CENTER,AL,Durable Medical Equipment,4.666666666666667
10058,BIBB MEDICAL CENTER,AL,Home Health Agency,93.66666666666667
10058,BIBB MEDICAL CENTER,AL,Hospice,21.666666666666668
10058,BIBB MEDICAL CENTER,AL,Inpatient,2297.0
10058,BIBB MEDICAL CENTER,AL,Outpatient,214.33333333333334
10058,BIBB MEDICAL CENTER,AL,Skilled Nursing Facility,1839.6666666666667
10058,BIBB MEDICAL CENTER,AL,Total,14513.0
10059,LAWRENCE MEDICAL CENTER,AL,Carrier,657.6666666666666
10059,LAWRENCE MEDICAL CENTER,AL,Durable Medical Equipment,27.0
10059,LAWRENCE MEDICAL CENTER,AL,Home Health Agency,290.6666666666667
10059,LAWRENCE MEDICAL CENTER,AL,Hospice,42.0
10059,LAWRENCE MEDICAL CENTER,AL,Inpatient,2576.3333333333335
10059,LAWRENCE MEDICAL CENTER,AL,Outpatient,154.66666666666666
10059,LAWRENCE MEDICAL CENTER,AL,Skilled Nursing Facility,1238.3333333333333
10059,LAWRENCE MEDICAL CENTER,AL,Total,14961.0
10061,HIGHLANDS MEDICAL CENTER,AL,Carrier,549.0
10061,HIGHLANDS MEDICAL CENTER,AL,Durable Medical Equipment,26.666666666666668
10061,HIGHLANDS MEDICAL CENTER,AL,Home Health Agency,231.33333333333334
10061,HIGHLANDS MEDICAL CENTER,AL,Hospice,103.0
10061,HIGHLANDS MEDICAL CENTER,AL,Inpatient,2560.6666666666665
10061,HIGHLANDS MEDICAL CENTER,AL,Outpatient,242.0
10061,HIGHLANDS MEDICAL CENTER,AL,Skilled Nursing Facility,1163.6666666666667
10061,HIGHLANDS MEDICAL CENTER,AL,Total,14628.0
10062,WIREGRASS MEDICAL CENTER,AL,Carrier,558.0
10062,WIREGRASS MEDICAL CENTER,AL,Durable Medical Equipment,28.666666666666668
10062,WIREGRASS MEDICAL CENTER,AL,Home Health Agency,340.6666666666667
10062,WIREGRASS MEDICAL CENTER,AL,Hospice,55.666666666666664
10062,WIREGRASS MEDICAL CENTER,AL,Inpatient,2396.0
10062,WIREGRASS MEDICAL CENTER,AL,Outpatient,112.33333333333333
10062,WIREGRASS MEDICAL CENTER,AL,Skilled Nursing Facility,878.3333333333334
10062,WIREGRASS MEDICAL CENTER,AL,Total,13109.0
10065,RUSSELL HOSPITAL,AL,Carrier,905.0
10065,RUSSELL HOSPITAL,AL,Durable Medical Equipment,31.333333333333332
10065,RUSSELL HOSPITAL,AL,Home Health Agency,288.3333333333333
10065,RUSSELL HOSPITAL,AL,Hospice,73.33333333333333
10065,RUSSELL HOSPITAL,AL,Inpatient,3548.3333333333335
10065,RUSSELL HOSPITAL,AL,Outpatient,366.0
10065,RUSSELL HOSPITAL,AL,Skilled Nursing Facility,971.6666666666666
10065,RUSSELL HOSPITAL,AL,Total,18551.0
10069,MEDICAL CENTER BARBOUR,AL,Carrier,666.6666666666666
10069,MEDICAL CENTER BARBOUR,AL,Durable Medical Equipment,48.0
10069,MEDICAL CENTER BARBOUR,AL,Home Health Agency,213.33333333333334
10069,MEDICAL CENTER BARBOUR,AL,Hospice,57.333333333333336
10069,MEDICAL CENTER BARBOUR,AL,Inpatient,2645.3333333333335
10069,MEDICAL CENTER BARBOUR,AL,Outpatient,222.0
10069,MEDICAL CENTER BARBOUR,AL,Skilled Nursing Facility,701.0
10069,MEDICAL CENTER BARBOUR,AL,Total,13663.0
10073,CLAY COUNTY HOSPITAL,AL,Carrier,485.6666666666667
10073,CLAY COUNTY HOSPITAL,AL,Durable Medical Equipment,24.666666666666668
10073,CLAY COUNTY HOSPITAL,AL,Home Health Agency,171.66666666666666
10073,CLAY COUNTY HOSPITAL,AL,Hospice,51.0
10073,CLAY COUNTY HOSPITAL,AL,Inpatient,2866.6666666666665
10073,CLAY COUNTY HOSPITAL,AL,Outpatient,139.33333333333334
10073,CLAY COUNTY HOSPITAL,AL,Skilled Nursing Facility,613.0
10073,CLAY COUNTY HOSPITAL,AL,Total,13057.0
10078,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,AL,Carrier,998.0
10078,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,AL,Durable Medical Equipment,37.0
10078,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,AL,Home Health Agency,297.0
10078,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,AL,Hospice,46.666666666666664
10078,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,AL,Inpatient,3904.0
10078,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,AL,Outpatient,224.0
10078,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,AL,Skilled Nursing Facility,960.6666666666666
10078,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,AL,Total,19403.0
10079,ATHENS LIMESTONE HOSPITAL,AL,Carrier,857.3333333333334
10079,ATHENS LIMESTONE HOSPITAL,AL,Durable Medical Equipment,41.333333333333336
10079,ATHENS LIMESTONE HOSPITAL,AL,Home Health Agency,274.3333333333333
10079,ATHENS LIMESTONE HOSPITAL,AL,Hospice,47.0
10079,ATHENS LIMESTONE HOSPITAL,AL,Inpatient,3144.0
10079,ATHENS LIMESTONE HOSPITAL,AL,Outpatient,135.33333333333334
10079,ATHENS LIMESTONE HOSPITAL,AL,Skilled Nursing Facility,1065.6666666666667
10079,ATHENS LIMESTONE HOSPITAL,AL,Total,16695.0
10083,SOUTH BALDWIN REGIONAL MEDICAL CENTER,AL,Carrier,985.0
10083,SOUTH BALDWIN REGIONAL MEDICAL CENTER,AL,Durable Medical Equipment,42.333333333333336
10083,SOUTH BALDWIN REGIONAL MEDICAL CENTER,AL,Home Health Agency,319.3333333333333
10083,SOUTH BALDWIN REGIONAL MEDICAL CENTER,AL,Hospice,52.0
10083,SOUTH BALDWIN REGIONAL MEDICAL CENTER,AL,Inpatient,3281.0
10083,SOUTH BALDWIN REGIONAL MEDICAL CENTER,AL,Outpatient,185.33333333333334
10083,SOUTH BALDWIN REGIONAL MEDICAL CENTER,AL,Skilled Nursing Facility,808.3333333333334
10083,SOUTH BALDWIN REGIONAL MEDICAL CENTER,AL,Total,17020.0
10085,DECATUR MORGAN HOSPITAL - DECATUR CAMPUS,AL,Carrier,943.6666666666666
10085,DECATUR MORGAN HOSPITAL - DECATUR CAMPUS,AL,Durable Medical Equipment,28.333333333333332
10085,DECATUR MORGAN HOSPITAL - DECATUR CAMPUS,AL,Home Health Agency,296.3333333333333
10085,DECATUR MORGAN HOSPITAL - DECATUR CAMPUS,AL,Hospice,52.0
10085,DECATUR MORGAN HOSPITAL - DECATUR CAMPUS,AL,Inpatient,3294.6666666666665
10085,DECATUR MORGAN HOSPITAL - DECATUR CAMPUS,AL,Outpatient,150.66666666666666
10085,DECATUR MORGAN HOSPITAL - DECATUR CAMPUS,AL,Skilled Nursing Facility,1103.0
10085,DECATUR MORGAN HOSPITAL - DECATUR CAMPUS,AL,Total,17605.0
10086,NORTHWEST MEDICAL CENTER,AL,Carrier,580.0
10086,NORTHWEST MEDICAL CENTER,AL,Durable Medical Equipment,39.0
10086,NORTHWEST MEDICAL CENTER,AL,Home Health Agency,322.3333333333333
10086,NORTHWEST MEDICAL CENTER,AL,Hospice,60.666666666666664
10086,NORTHWEST MEDICAL CENTER,AL,Inpatient,2535.0
10086,NORTHWEST MEDICAL CENTER,AL,Outpatient,237.0
10086,NORTHWEST MEDICAL CENTER,AL,Skilled Nursing Facility,947.3333333333334
