Provider_ID,Condition,Measure Name,Score,Sample
220033,Heart Attack or Chest Pain,Median Time to ECG,5.0,66.0
220030,Emergency Department,ED1,264.0,495.0
220046,Emergency Department,Door to diagnostic eval,26.0,408.0
220063,Emergency Department,Left before being seen,5.0,99974.0
220070,Emergency Department,Door to diagnostic eval,47.0,359.0
220073,Emergency Department,Head CT results,81.0,21.0
220066,Pregnancy and Delivery Care,"Percent of newborns whose deliveries were scheduled early (1-3 weeks early), when a scheduled delivery was not medically necessary",0.0,26.0
220074,Colonoscopy care,Endoscopy/polyp surveillance: colonoscopy interval for patients with a history of adenomatous polyps - avoidance of inappropriate use,86.0,96.0
220024,Emergency Department,Door to diagnostic eval,44.0,480.0
220035,Preventive Care,Healthcare workers given influenza vaccination,92.0,5480.0
220046,Heart Attack or Chest Pain,Median Time to Fibrinolysis,22.0,44.0
220071,Pregnancy and Delivery Care,"Percent of newborns whose deliveries were scheduled early (1-3 weeks early), when a scheduled delivery was not medically necessary",0.0,46.0
220033,Pregnancy and Delivery Care,"Percent of newborns whose deliveries were scheduled early (1-3 weeks early), when a scheduled delivery was not medically necessary",0.0,34.0
220095,Preventive Care,Healthcare workers given influenza vaccination,91.0,1248.0
220036,Emergency Department,OP 18,140.0,341.0
220063,Heart Attack or Chest Pain,Median Time to ECG,0.0,41.0
220060,Emergency Department,Left before being seen,2.0,45298.0
220046,Preventive Care,Immunization for influenza,97.0,535.0
220035,Pregnancy and Delivery Care,"Percent of newborns whose deliveries were scheduled early (1-3 weeks early), when a scheduled delivery was not medically necessary",0.0,18.0
220024,Emergency Department,OP 18,160.0,420.0
220046,Heart Attack or Chest Pain,Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival,86.0,44.0
220062,Preventive Care,Immunization for influenza,95.0,521.0
220049,Preventive Care,Immunization for influenza,97.0,385.0
220046,Colonoscopy care,Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients,53.0,248.0
220063,Emergency Department,OP 18,200.0,485.0
220063,Cancer care,External Beam Radiotherapy for Bone Metastases,100.0,64.0
220077,Emergency Department,Left before being seen,6.0,119457.0
220077,Preventive Care,Healthcare workers given influenza vaccination,97.0,11530.0
220119,Heart Attack or Chest Pain,Median Time to ECG,13.0,92.0
220058,Emergency Department,OP 18,144.0,353.0
220070,Blood Clot Prevention and Treatment,Hospital acquired potentially preventable venous thromboembolism,8.0,13.0
220084,Emergency Department,OP 18,142.0,334.0
220049,Emergency Department,ED2,76.0,500.0
220060,Preventive Care,Healthcare workers given influenza vaccination,97.0,2201.0
420030,Preventive Care,Healthcare workers given influenza vaccination,88.0,739.0
220033,Colonoscopy care,Endoscopy/polyp surveillance: colonoscopy interval for patients with a history of adenomatous polyps - avoidance of inappropriate use,92.0,104.0
220070,Emergency Department,Left before being seen,2.0,48845.0
220036,Preventive Care,Immunization for influenza,93.0,529.0
220030,Emergency Department,Door to diagnostic eval,36.0,509.0
220036,Blood Clot Prevention and Treatment,Hospital acquired potentially preventable venous thromboembolism,0.0,19.0
220073,Colonoscopy care,Endoscopy/polyp surveillance: colonoscopy interval for patients with a history of adenomatous polyps - avoidance of inappropriate use,100.0,108.0
220060,Emergency Department,Head CT results,90.0,30.0
220074,Emergency Department,Left before being seen,2.0,198051.0
220073,Emergency Department,ED2,152.0,931.0
220080,Emergency Department,Door to diagnostic eval,31.0,370.0
220033,Preventive Care,Immunization for influenza,97.0,4331.0
220066,Colonoscopy care,Endoscopy/polyp surveillance: colonoscopy interval for patients with a history of adenomatous polyps - avoidance of inappropriate use,100.0,103.0
10032,Emergency Department,ED1,241.0,181.0
10032,Emergency Department,ED2,75.0,167.0
10032,Preventive Care,Immunization for influenza,88.0,84.0
10032,Preventive Care,Healthcare workers given influenza vaccination,80.0,163.0
10032,Emergency Department,OP 18,116.0,397.0
10032,Emergency Department,Door to diagnostic eval,24.0,430.0
10032,Emergency Department,Median time to pain med,11.0,93.0
10032,Emergency Department,Left before being seen,1.0,8077.0
10032,Colonoscopy care,Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients,22.0,40.0
10032,Colonoscopy care,Endoscopy/polyp surveillance: colonoscopy interval for patients with a history of adenomatous polyps - avoidance of inappropriate use,83.0,29.0
10032,Heart Attack or Chest Pain,Aspirin at Arrival,90.0,50.0
10032,Heart Attack or Chest Pain,Median Time to ECG,6.0,55.0
420107,Heart Attack or Chest Pain,Aspirin at Arrival,99.0,127.0
220052,Preventive Care,Immunization for influenza,94.0,599.0
220066,Cancer care,External Beam Radiotherapy for Bone Metastases,97.0,38.0
220063,Preventive Care,Immunization for influenza,99.0,553.0
220071,Preventive Care,Healthcare workers given influenza vaccination,84.0,27384.0
220065,Emergency Department,Left before being seen,1.0,25440.0
220060,Pregnancy and Delivery Care,"Percent of newborns whose deliveries were scheduled early (1-3 weeks early), when a scheduled delivery was not medically necessary",0.0,62.0
220116,Emergency Department,Median time to pain med,43.0,101.0
220063,Heart Attack or Chest Pain,Aspirin at Arrival,100.0,31.0
220031,Emergency Department,Median time to pain med,49.0,249.0
220029,Colonoscopy care,Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients,96.0,80.0
220073,Emergency Department,Door to diagnostic eval,40.0,352.0
420103,Emergency Department,OP 18,150.0,394.0
220065,Heart Attack or Chest Pain,Median Time to Transfer to Another Facility for Acute Coronary Intervention,34.0,11.0
220052,Preventive Care,Healthcare workers given influenza vaccination,93.0,2672.0
220080,Emergency Department,ED2,142.0,803.0
220058,Heart Attack or Chest Pain,Median Time to ECG,9.0,43.0
220163,Emergency Department,Door to diagnostic eval,46.0,380.0
220098,Emergency Department,Door to diagnostic eval,28.0,342.0
220066,Emergency Department,ED2,270.0,792.0
220030,Emergency Department,Left before being seen,4.0,21141.0
220066,Emergency Department,Door to diagnostic eval,52.0,404.0
220086,Preventive Care,Healthcare workers given influenza vaccination,93.0,12915.0
220080,Cancer care,External Beam Radiotherapy for Bone Metastases,27.0,11.0
220024,Heart Attack or Chest Pain,Median Time to Transfer to Another Facility for Acute Coronary Intervention,36.0,11.0
220176,Heart Attack or Chest Pain,Median Time to ECG,8.0,14.0
220049,Heart Attack or Chest Pain,Aspirin at Arrival,100.0,70.0
220031,Preventive Care,Immunization for influenza,99.0,544.0
220073,Emergency Department,OP 18,138.0,331.0
220031,Emergency Department,ED2,254.0,696.0
220070,Emergency Department,Head CT results,80.0,15.0
220029,Pregnancy and Delivery Care,"Percent of newborns whose deliveries were scheduled early (1-3 weeks early), when a scheduled delivery was not medically necessary",5.0,21.0
220063,Emergency Department,Door to diagnostic eval,74.0,549.0
220035,Preventive Care,Immunization for influenza,96.0,539.0
230104,Colonoscopy care,Endoscopy/polyp surveillance: colonoscopy interval for patients with a history of adenomatous polyps - avoidance of inappropriate use,77.0,223.0
230105,Emergency Department,ED1,282.0,654.0
230097,Colonoscopy care,Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients,87.0,93.0
230100,Emergency Department,Median time to pain med,42.0,127.0
230146,Colonoscopy care,Endoscopy/polyp surveillance: colonoscopy interval for patients with a history of adenomatous polyps - avoidance of inappropriate use,93.0,176.0
230097,Pregnancy and Delivery Care,"Percent of newborns whose deliveries were scheduled early (1-3 weeks early), when a scheduled delivery was not medically necessary",0.0,43.0
230142,Pregnancy and Delivery Care,"Percent of newborns whose deliveries were scheduled early (1-3 weeks early), when a scheduled delivery was not medically necessary",0.0,39.0
230151,Emergency Department,Door to diagnostic eval,13.0,386.0
220084,Colonoscopy care,Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients,94.0,72.0
220163,Emergency Department,OP 18,238.0,355.0
220116,Cancer care,External Beam Radiotherapy for Bone Metastases,100.0,21.0
221303,Preventive Care,Healthcare workers given influenza vaccination,96.0,291.0
220163,Cancer care,External Beam Radiotherapy for Bone Metastases,52.0,40.0
220110,Preventive Care,Healthcare workers given influenza vaccination,91.0,20426.0
220126,Emergency Department,ED2,129.0,986.0
230015,Heart Attack or Chest Pain,Median Time to ECG,10.0,183.0
221302,Emergency Department,Left before being seen,1.0,11986.0
230015,Emergency Department,Door to diagnostic eval,34.0,772.0
220163,Preventive Care,Immunization for influenza,88.0,521.0
230036,Preventive Care,Immunization for influenza,100.0,355.0
230003,Emergency Department,Door to diagnostic eval,11.0,382.0
220110,Emergency Department,Left before being seen,2.0,62240.0
230058,Heart Attack or Chest Pain,Median Time to ECG,7.0,280.0
221303,Emergency Department,Door to diagnostic eval,27.0,551.0
230066,Heart Attack or Chest Pain,Aspirin at Arrival,100.0,24.0
220095,Colonoscopy care,Endoscopy/polyp surveillance: colonoscopy interval for patients with a history of adenomatous polyps - avoidance of inappropriate use,92.0,75.0
220083,Emergency Department,OP 18,184.0,350.0
220086,Colonoscopy care,Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients,94.0,72.0
220135,Colonoscopy care,Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients,93.0,73.0
230021,Emergency Department,Head CT results,88.0,16.0
220111,Emergency Department,ED1,379.0,883.0
230017,Colonoscopy care,Endoscopy/polyp surveillance: colonoscopy interval for patients with a history of adenomatous polyps - avoidance of inappropriate use,93.0,94.0
230021,Pregnancy and Delivery Care,"Percent of newborns whose deliveries were scheduled early (1-3 weeks early), when a scheduled delivery was not medically necessary",0.0,24.0
220100,Colonoscopy care,Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients,97.0,39.0
230020,Heart Attack or Chest Pain,Median Time to ECG,3.0,11.0
21304,Preventive Care,Immunization for influenza,88.0,34.0
220116,Emergency Department,ED2,123.0,393.0
220086,Colonoscopy care,Endoscopy/polyp surveillance: colonoscopy interval for patients with a history of adenomatous polyps - avoidance of inappropriate use,85.0,72.0
220175,Emergency Department,Door to diagnostic eval,31.0,407.0
220100,Colonoscopy care,Endoscopy/polyp surveillance: colonoscopy interval for patients with a history of adenomatous polyps - avoidance of inappropriate use,29.0,131.0
230022,Emergency Department,Door to diagnostic eval,32.0,260.0
220084,Heart Attack or Chest Pain,Median Time to Transfer to Another Facility for Acute Coronary Intervention,58.0,15.0
220126,Colonoscopy care,Endoscopy/polyp surveillance: colonoscopy interval for patients with a history of adenomatous polyps - avoidance of inappropriate use,100.0,109.0
230095,Colonoscopy care,Endoscopy/polyp surveillance: colonoscopy interval for patients with a history of adenomatous polyps - avoidance of inappropriate use,100.0,139.0
230030,Emergency Department,ED1,271.0,453.0
230003,Colonoscopy care,Endoscopy/polyp surveillance: colonoscopy interval for patients with a history of adenomatous polyps - avoidance of inappropriate use,100.0,144.0
230002,Cancer care,External Beam Radiotherapy for Bone Metastases,75.0,12.0
220119,Colonoscopy care,Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients,100.0,100.0
230021,Emergency Department,ED2,85.0,678.0
230015,Preventive Care,Immunization for influenza,90.0,249.0
230040,Emergency Department,Door to diagnostic eval,35.0,418.0
230040,Preventive Care,Immunization for influenza,97.0,265.0
220105,Emergency Department,ED1,331.0,662.0
230002,Emergency Department,OP 18,203.0,355.0
220098,Colonoscopy care,Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients,94.0,80.0
230002,Pregnancy and Delivery Care,"Percent of newborns whose deliveries were scheduled early (1-3 weeks early), when a scheduled delivery was not medically necessary",0.0,40.0
230035,Emergency Department,Left before being seen,0.0,31129.0
230059,Preventive Care,Immunization for influenza,99.0,520.0
220095,Emergency Department,Median time to pain med,54.0,124.0
220119,Emergency Department,ED1,306.0,652.0
220163,Colonoscopy care,Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients,91.0,90.0
230024,Emergency Department,Median time to pain med,65.0,148.0
220090,Emergency Department,OP 18,190.0,474.0
230029,Colonoscopy care,Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients,95.0,74.0
230035,Pregnancy and Delivery Care,"Percent of newborns whose deliveries were scheduled early (1-3 weeks early), when a scheduled delivery was not medically necessary",0.0,87.0
220084,Preventive Care,Healthcare workers given influenza vaccination,94.0,2701.0
230020,Blood Clot Prevention and Treatment,Hospital acquired potentially preventable venous thromboembolism,0.0,46.0
230022,Emergency Department,Median time to pain med,52.0,106.0
220105,Preventive Care,Immunization for influenza,95.0,462.0
230040,Emergency Department,Median time to pain med,29.0,113.0
230029,Colonoscopy care,Endoscopy/polyp surveillance: colonoscopy interval for patients with a history of adenomatous polyps - avoidance of inappropriate use,99.0,71.0
220095,Emergency Department,Door to diagnostic eval,29.0,401.0
230030,Preventive Care,Healthcare workers given influenza vaccination,84.0,1030.0
230029,Preventive Care,Healthcare workers given influenza vaccination,97.0,3895.0
220095,Pregnancy and Delivery Care,"Percent of newborns whose deliveries were scheduled early (1-3 weeks early), when a scheduled delivery was not medically necessary",0.0,55.0
230019,Heart Attack or Chest Pain,Aspirin at Arrival,89.0,19.0
230024,Emergency Department,OP 18,150.0,373.0
230017,Colonoscopy care,Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients,91.0,82.0
230040,Colonoscopy care,Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients,43.0,333.0
220175,Emergency Department,ED2,137.0,845.0
220100,Emergency Department,ED1,562.0,1004.0
230038,Emergency Department,Left before being seen,0.0,203119.0
230031,Colonoscopy care,Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients,97.0,204.0
220098,Emergency Department,Median time to pain med,41.0,57.0
230035,Emergency Department,ED2,83.0,400.0
420108,Emergency Department,Head CT results,18.0,17.0
230021,Emergency Department,Median time to pain med,36.0,263.0
220095,Heart Attack or Chest Pain,Aspirin at Arrival,94.0,166.0
220086,Emergency Department,ED1,449.0,618.0
220090,Colonoscopy care,Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients,93.0,171.0
220098,Emergency Department,ED1,234.0,570.0
230030,Emergency Department,ED2,89.0,453.0
220108,Colonoscopy care,Endoscopy/polyp surveillance: colonoscopy interval for patients with a history of adenomatous polyps - avoidance of inappropriate use,81.0,78.0
220086,Emergency Department,ED2,199.0,608.0
230029,Preventive Care,Immunization for influenza,100.0,546.0
230081,Heart Attack or Chest Pain,Median Time to Fibrinolysis,22.0,14.0
220083,Heart Attack or Chest Pain,Median Time to ECG,3.0,117.0
220095,Emergency Department,ED1,306.0,514.0
220177,Emergency Department,OP 18,135.0,189.0
230017,Emergency Department,Median time to pain med,74.0,310.0
220108,Blood Clot Prevention and Treatment,Hospital acquired potentially preventable venous thromboembolism,0.0,12.0
220126,Heart Attack or Chest Pain,Aspirin at Arrival,100.0,37.0
230020,Emergency Department,ED1,401.0,634.0
230080,Emergency Department,ED2,70.0,495.0
220119,Emergency Department,ED2,101.0,651.0
230075,Emergency Department,ED2,107.0,798.0
230021,Cancer care,External Beam Radiotherapy for Bone Metastases,97.0,39.0
220086,Cancer care,External Beam Radiotherapy for Bone Metastases,100.0,86.0
230020,Emergency Department,Door to diagnostic eval,44.0,415.0
230029,Emergency Department,ED1,304.0,495.0
230024,Emergency Department,Left before being seen,4.0,104014.0
230035,Emergency Department,Door to diagnostic eval,16.0,393.0
220135,Preventive Care,Immunization for influenza,98.0,539.0
220175,Emergency Department,ED1,349.0,845.0
220090,Pregnancy and Delivery Care,"Percent of newborns whose deliveries were scheduled early (1-3 weeks early), when a scheduled delivery was not medically necessary",0.0,251.0
220100,Emergency Department,Head CT results,77.0,22.0
220101,Preventive Care,Immunization for influenza,99.0,477.0
